nummer	hoofdstuk	Naam_indicator	eigenaar	type	kwadrant	schaal
1	Wat is biodiversiteit?	aantal indicatoren per invalshoek en per schaalniveau	INBO	analyse	geen	geen
2	Wat is het belang van biodiversiteit?	vraag en aanbod van zestien ecosysteemdiensten in Vlaanderen 	INBO	analyse	voorraad	landschap
3	We leven op grote voet	verhouding tussen de ecologische voetafdruk van elk land versus de welzijnsindicator Human Development Index 	EEA	indicator	geen	geen
4	Onze impact op de biodiversiteit	biomassaverdeling grote zoogdieren in Vlaanderen	INBO	analyse	voorraad	soort
5	Onze impact op de biodiversiteit	landgebruikscategorieën in Vlaanderen en 9 andere sociaal-economische topregio’s in 2018 	INBO	analyse	voorraad	landschap
6	Onze impact op de biodiversiteit	bevolkingsdichtheid en urbanisatie in Vlaanderen en 9 andere sociaal-economische topregio’s in 2018 	INBO	analyse	geen	geen
7	Onze impact op de biodiversiteit	biodiversity Intactness Index voor Vlaanderen	INBO	analyse	voorraad	landschap
8	Algemene biodiversiteitstrends	living Planet Index fauna voor de periode 1990-2019 in Vlaanderen	WWF	indicator	voorraad	soort
9	Algemene biodiversiteitstrends	multisoortenindex voor plantensoorten in de periode 1950-2018 in Vlaanderen	INBO	indicator	samenstelling	soort
10	Algemene biodiversiteitstrends	Trend algemene broedvogels	INBO	indicator	samenstelling	soort
11	Algemene biodiversiteitstrends	rode lijst status soorten	INBO	indicator	samenstelling	soort
12	Biodiversiteit van Europees belang	staat van instandhouding van habitats van Europees belang (oppervlakte  en areaal) -algemeen	INBO	indicator	voorraad	ecosysteem
13	Biodiversiteit van Europees belang	staat van instandhouding van habitats van Europees belang (ruimtelijke samenhang) - algemeen	INBO	indicator	samenstelling	ecosysteem
14	Biodiversiteit van Europees belang	staat van instandhouding  van habitats van Europees belang (habitattypische soorten) -algemeen	INBO	indicator	structuur	ecosysteem
15	Biodiversiteit van Europees belang	staat van instandhouding van habitats van Europees belang (oppervlakte  en areaal) - per ecosysteem	INBO	analyse	voorraad	ecosysteem
16	Biodiversiteit van Europees belang	staat van instandhouding van habitats van Europees belang (ruimtelijke samenhang) - per ecosysteem	INBO	analyse	samenstelling	ecosysteem
17	Biodiversiteit van Europees belang	staat van instandhouding  van habitats van Europees belang (habitattypische soorten) - per ecosysteem	INBO	analyse	structuur	ecosysteem
18	Biodiversiteit van Europees belang	staat van instandhouding van habitats van Europees belang (oppervlakte  en areaal) - atlantische regio	INBO	analyse	voorraad	ecosysteem
19	Biodiversiteit van Europees belang	staat van instandhouding van habitats van Europees belang (ruimtelijke samenhang) - atlantische regio	INBO	analyse	samenstelling	ecosysteem
20	Biodiversiteit van Europees belang	staat van instandhouding  van habitats van Europees belang (habitattypische soorten) - atlantische regio	INBO	analyse	structuur	ecosysteem
21	Biodiversiteit van Europees belang	beoordeling van de staat van instandhouding en trend van de habitatrichtlijnsoorten in 2019 in Vlaanderen	INBO	indicator	samenstelling	soort
22	Biodiversiteit van Europees belang	vergelijking van de staat van instandhouding van de habitatrichtlijnsoorten in Vlaanderen met de staat van instandhouding van diezelfde soorten in het Atlantische deel van België, Nederland, Duitsland en Frankrijk en in de volledige Atlantische regio voor de rapportageperiode 2019	INBO	analyse	samenstelling	soort
23	Biodiversiteit van Europees belang	overzicht van de gemiddelde afstand (%) tot de populatiedoelen die voor de broedvogels in de gewestelijke instandhoudingsdoelen vastgesteld zijn	INBO	indicator	samenstelling	soort
24	Biodiversiteit van Europees belang	overzicht van de populatietrends op korte (2007-2018) en lange (1973-2018) termijn voor 26 broedvogelsoorten van Europees belang in Vlaanderen	INBO	indicator	samenstelling	soort
25	Biodiversiteit van Europees belang	overzicht van de gemiddelde afstand (%) tot de populatiedoelen die voor de overwinterende watervogels in de gewestelijke instandhoudingsdoelen vastgesteld zijn	INBO	indicator	voorraad	soort
26	Biodiversiteit van Europees belang	overzicht van de populatietrends op korte en lange termijn van 19 overwinterende watervogelsoorten van Europees belang in Vlaanderen	INBO	indicator	voorraad	soort
27	Biodiversiteit van Europees belang	overzicht van de 16 habitats (gedefinieerd in bijlage 5 van het Vlaams Natura 2000-programma 2016-2020) die zich in 2020 in een gunstige of verbeterde staat van instandhouding moesten bevinden met de status en trend zoals gerapporteerd in 2019 	INBO	analyse	samenstelling	ecosysteem
28	Bescherming en beheer in Vlaanderen	oppervlakteaandeel gelegen in een zone waarbinnen natuur een of andere vorm van juridische bescherming geniet	INBO	analyse	voorraad	ecosysteem
29	Bescherming en beheer in Vlaanderen	evolutie van de oppervlakte aan gebieden met een goedgekeurd (natuur)beheerplan 	INBO	indicator	voorraad	landschap
30	Bescherming en beheer in Vlaanderen	oppervlakteaandeel dat alleen wettelijk beschermd is en dat zowel wettelijk beschermd is als natuurgericht beheerd wordt voor Vlaanderen en de ecosystemen	INBO	analyse	voorraad	landschap
31	Bescherming en beheer in Vlaanderen	evolutie van het aantal soortbeschermingsplannen en -programma’s 	INBO	indicator	samenstelling	soort
32	Landgebruiksverandering	Rekening ecosysteemvoorraad (km²) in 1990 en 2018 (Corine)	INBO	indicator	voorraad	landschap
33	Landgebruiksverandering	Ecosysteemveranderingen tussen 1990 en 2018 (Corine)	INBO	indicator	voorraad	landschap
34	Landgebruiksverandering	ecosysteemvoorraad (km²) in 2013 en 2016 (Landgebruiksbestand Vlaanderen)	INBO	indicator	voorraad	landschap
35	Landgebruiksverandering	ecosysteemveranderingen (ha) tussen 2013 en 2016 (landgebruiksbestand Vlaanderen)	INBO	indicator	voorraad	landschap
36	Landgebruiksverandering	oppervlakte van de landgebruiksveranderingen tussen 2013 en 2016 op basis van de kaart (punten) en de gevalideerde punten (horizontale balken) voor de geaggregeerde klassen. 	INBO	indicator	geen	geen
37	Landgebruiksverandering	trend van de nachtegaal van 2008 tot 2019 	INBO	indicator	samenstelling	soort
38	Landgebruiksverandering	hoeveel vlinders en vlindersoorten in tuinen worden waargenomen, hangt af van jaarlijkse variatie (bv. door de weersomstandigheden), van de grootte van de tuin, van de tuininrichting en van de verstedelijkingsgraad van de omgeving. 	INBO	analyse	samenstelling	soort
39	Landgebruiksverandering	gemiddeld aantal vlindersoorten in functie van de verstedelijkingsgraad	INBO	analyse	samenstelling	soort
40	Landgebruiksverandering	gemiddeld aantal vlinders in functie van de verstedelijkingsgraad	INBO	analyse	voorraad	soort
41	Landgebruiksverandering	toename van de oppervlakte bebouwde percelen in Vlaanderen in hectare per dag 	Statbel	analyse	geen	geen
42	Versnippering	Meff-score openruimte	INBO	analyse	structuur	landschap
43	Versnippering	Meff-score natuurruimte	INBO	analyse	structuur	landschap
44	Versnippering	Oppervlakteverdeling van natuurclusters in Vlaanderen	INBO	analyse	voorraad	landschap
45	Versnippering	aantal habitattypes per ecosysteem waarvoor de ruimtelijke samenhang als gunstig of ongunstig beoordeeld wordt op basis van de oppervlakte van de habitatvlekken en de oppervlakte van de functionele clusters 	INBO	analyse	structuur	ecosysteem
46	Versnippering	Oppervlakte natuurverwevingsgebieden	INBO	indicator	voorraad	landschap
47	Versnippering	Vismigratieknelpunten	INBO	indicator	geen	geen
48	Verontreiniging	druk op waterleven door gewasbescherming	VMM	indicator	geen	ecosysteem
49	Verontreiniging	aandeel meetplaatsen met één of meerdere normoverschrijdingen voor gewasbeschermingsmiddelen tussen 2004 en 2018 	VMM	indicator	geen	ecosysteem
50	Verontreiniging	bioaccumulatie van persistente stoffen in spierweefsel van baars en paling	INBO	indicator	functies	soort
51	Vermesting en verzuring	overschijding kritische lasten vermesting	VMM	indicator	geen	ecosysteem
